key,en_US,pt_BR,es_ES
RETRY,Retry,Tentar novamente,Reintentar
UPDATE_TITLE,Update required,Atualização necessária,Actualización requerida
UPDATE,Update,Atualizar,Actualizar
DOWNLOAD,Open download page,Abrir página de download,Abrir página de descarga
ERR_OUTDATED,"Your game is out of date. Click Update to open Arkenelle in the itch.io app, then Install/Update and relaunch from your Library. If itch says no compatible downloads, click again for the browser download page.","Seu jogo está desatualizado. Clique em Atualizar para abrir o Arkenelle no app itch.io, use Instalar/Atualizar e abra pela Biblioteca. Se o itch disser que não há downloads compatíveis, clique de novo para a página no navegador.","Tu juego está desactualizado. Pulsa Actualizar para abrir Arkenelle en la app de itch.io, usa Instalar/Actualizar y ábrelo desde tu Biblioteca. Si itch dice que no hay descargas compatibles, pulsa de nuevo para la página del navegador."
WELCOME_TINY_MMO,Welcome to Arkenelle!,Bem vindo ao Arkenelle!,¡Bienvenido a Arkenelle!
RECONNECT_POPUP,No world available.\nTrying again in \n%d\n%s,Nenhum mundo disponível.\nTentando novamente em \n%d\n%s,No hay mundos disponibles. Reintentando en \n%d\n%s
CONTINUE_WORLD_ACC,Continue\n%s - %s,Continue\n%s - %s,Continúa\n%s - %s
NAME_CLASS_LEVEL,%s\nClass: %s\nLevel: %d,%s\nClasse: %s\nNível: %d,%s\nClase: %s\nNivel: %d
CREATE_NEW_CHAR,Create New Character,Criar um novo personagem,Crear un nuevo personaje
USERNAME,Username:\n,Nome de usuário:\n,Nombre de usuario:\n
PASSWORDS_DONT_MATCH,Passwords don't match,Senhas não combinam,Las contraseñas no coinciden.
ACC_NAME_ACC_ID,Account-name: %s\nAccount-ID: %s,Nome da conta: %s\nID da conta: %s,Nombre de la cuenta: %s\nID de la cuenta: %s
CHARACTER_SELECTION,Character Selection,Seleção de personagens,Selección de personaje
CHARACTER_CREATION,Character Creation,Criação de personagem,Creación de personaje
STARTING_SKIN,Starting Skin,Skin Inicial,Skin Inicial
KNIGHT,Knight,Caveleiro,Caballero
ROGUE,Rogue,Bandido,Bandido
WIZARD,Wizard,Mago,Mago
PREVIEW,Preview,Prever,Prever
DESCRIPTION,Description,Descrição,Descripción
CHARACTER_NAME,Character name,Nome do personagem,Nombrel del personaje
RANDOM,Random,Aleatório,Aleatorio
CREATE,Create,Criar,Crear
ERR_BAD_CREDENTIALS,Incorrect account name or password.,Nome da conta ou senha incorretos.,Nombre de cuenta o contraseña incorrectos.
ERR_ALREADY_CONNECTED,This account is already in game. Try again in a moment.,Esta conta já está em jogo. Tente novamente em instantes.,Esta cuenta ya está en juego. Inténtalo de nuevo en un momento.
ERR_ACCOUNT_CREATE_FAILED,Couldn't create the account. That name may already be taken.,Não foi possível criar a conta. Esse nome pode já estar em uso.,No se pudo crear la cuenta. Ese nombre puede estar en uso.
ERR_CONNECTION,Couldn't reach the server. Check your connection and try again.,Não foi possível conectar ao servidor. Verifique sua conexão e tente novamente.,No se pudo conectar al servidor. Comprueba tu conexión e inténtalo de nuevo.
ERR_GENERIC,Something went wrong. Please try again.,Algo deu errado. Tente novamente.,Algo salió mal. Inténtalo de nuevo.
NO_WORLDS_ONLINE,No worlds are online right now. Trying again shortly…,Nenhum mundo está online no momento. Tentando novamente em breve…,No hay mundos en línea ahora mismo. Reintentando en breve…
ERR_RATE_LIMITED,Too many attempts. Please wait a moment and try again.,Muitas tentativas. Aguarde um momento e tente novamente.,Demasiados intentos. Espera un momento e inténtalo de nuevo.
SHOW_PASSWORD,Show password,Mostrar senha,Mostrar contraseña
CONNECTED_AS,Connected · %s,Conectado · %s,Conectado · %s
NAME_LEVEL,%s\nLevel %d,%s\nNível %d,%s\nNivel %d
